*WATER BALANCE OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS    SWTD    FWTD    SNTD   IRRD   PRED   DRND   ROFD   FROD   ESAD   EPAD   EFAD    WBAL   CUMWBAL       TOTS   TOTU   TOTX
 2003 149    93  283.50    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.01   0.95   0.00   -0.10      0.85       0.00   0.00  -0.85
 2003 150    94  282.65    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.01   0.85   0.00   -0.01      0.84       0.00   0.00  -0.84
 2003 151    95  281.83    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.84   0.00   -0.02      0.82       0.00   0.00  -0.82
 2003 152    96  280.98    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.82   0.00    0.03      0.85       0.00   0.00  -0.85
 2003 153    97  280.03    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.85   0.00    0.11      0.96       0.00   0.00  -0.96
 2003 154    98  297.91    0.00    0.00   0.00  18.80   0.00   0.00   0.00   0.00   0.96   0.00   -0.04      0.92      18.80   0.00  -0.92
 2003 155    99  292.75    0.00    0.00   0.00   0.00   0.00   0.00   0.00   2.15   0.92   0.00    2.08      3.00       0.00   0.00  -3.00
 2003 156   100  286.92    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.99   3.00   0.00    0.84      3.84       0.00   0.00  -3.84
 2003 157   101  309.26    0.00    0.00   0.00  24.90   0.00   0.00   0.00   1.07   3.84   0.00   -2.35      1.49      24.90   0.00  -1.49
 2003 158   102  335.52    0.00    0.00   0.00  30.20   0.00   0.65   0.00   1.37   1.49   0.00    0.42      1.91      29.55   0.00  -1.91
 2003 159   103  330.70    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.91   1.91   0.00    1.00      2.92       0.00   0.00  -2.92
 2003 160   104  323.84    0.00    0.00   0.00   0.00   0.00   0.00   0.00   2.86   2.92   0.00    1.08      4.00       0.00   0.00  -4.00
