*GROWTH ASPECTS OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 2003 111    55    54   11.8      2   0.15     76      6      0     15     82      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.22   0.00   0.00      0      0    202.3   0.00   0.00   0.52   0.40   0.15   0.06   0.02   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 2003 112    56    55   12.0      2   0.18     92      7      0     26    100      0    0.0  0.000      0      0  0.000  0.225  0.000  0.000   4.33   0.00   0.00      0      0    199.9   0.00   0.00   0.52   0.53   0.25   0.11   0.03   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 2003 113    57    56   12.2      2   0.22    109      9      0     42    118      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.20   0.00   0.00      0      0    198.3   0.00   0.00   0.53   0.67   0.39   0.18   0.05   0.01   0.00   0.00   0.00   0.00   0.00      0      0      0       0       3
 2003 114    58    57   12.3      2   0.25    127     11      0     53    138      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.15   0.00   0.00      0      0    196.9   0.00   0.00   0.53   0.76   0.49   0.24   0.07   0.01   0.00   0.00   0.00   0.00   0.00      0      0      0       0       3
 2003 115    59    58   12.6      2   0.27    136     12      0     54    147      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.88   0.00   0.00      0      0    196.4   0.00   0.00   0.54   0.77   0.50   0.24   0.07   0.01   0.00   0.00   0.00   0.00   0.00      0      0      0       0       3
 2003 116    60    59   12.8      2   0.32    162     14      0     71    176      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.16   0.00   0.00      0      0    195.1   0.00   0.00   0.54   0.88   0.67   0.34   0.08   0.01   0.00   0.00   0.00   0.00   0.00      0      0      0       0       3
 2003 117    61    60   13.0      2   0.36    187     17      0     93    204      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.02   0.00   0.00      0      0    194.2   0.00   0.00   0.55   1.02   0.87   0.47   0.11   0.01   0.00   0.00   0.00   0.00   0.00      0      0      0       0       8
 2003 118    62    61   13.3      2   0.42    217     20      0    121    237      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.00   0.00   0.00      0      0    193.5   0.00   0.00   0.56   1.20   1.13   0.63   0.16   0.02   0.00   0.00   0.00   0.00   0.00      0      0      0       0       8
 2003 119    63    62   13.6      2   0.48    250     23      0    147    273      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.93   0.00   0.00      0      0    192.8   0.00   0.00   0.56   1.36   1.37   0.78   0.20   0.03   0.00   0.00   0.00   0.00   0.00      0      0      0       0      15
 2003 120    64    63   13.9      2   0.55    284     27      0    181    311      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.86   0.00   0.00      0      0    192.3   0.00   0.00   0.57   1.54   1.68   0.98   0.25   0.04   0.00   0.00   0.00   0.00   0.00      0      0      0       0      25
 2003 121    65    64   14.3      2   0.62    325     31      0    215    355      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.83   0.00   0.00      0      0    191.9   0.00   0.00   0.58   1.71   2.00   1.18   0.31   0.05   0.00   0.00   0.00   0.00   0.00      0      0      0       0      25
 2003 122    66    65   14.6      2   0.69    361     34      0    263    396      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.70   0.00   0.00      0      0    191.6   0.00   0.00   0.59   1.93   2.46   1.47   0.39   0.06   0.00   0.00   0.00   0.00   0.00      0      0      0       0      38
 2003 123    67    66   14.8      2   0.75    392     37      0    283    430      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.58   0.00   0.00      0      0    191.3   0.00   0.00   0.60   2.02   2.65   1.59   0.42   0.07   0.00   0.00   0.00   0.00   0.00      0      0      0       0      52
 2003 124    68    67   15.1      2   0.82    430     41      0    338    471      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.57   0.00   0.00      0      0    191.1   0.00   0.00   0.60   2.27   3.18   1.91   0.52   0.08   0.00   0.00   0.00   0.00   0.00      0      0      0       0      52
 2003 125    69    68   15.5      2   0.90    471     45      0    388    517      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.54   0.00   0.00      0      0    190.9   0.00   0.00   0.61   2.50   3.67   2.20   0.60   0.10   0.00   0.00   0.00   0.00   0.00      0      0      0       0      71
 2003 126    70    69   15.9      3   0.98    536     52      0    427    588      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.60   0.00   0.00      0      0    183.4   0.00   0.00   0.62   2.49   4.00   2.46   0.67   0.11   0.01   0.00   0.00   0.00   0.00      0      0      0       0      71
 2003 127    71    70   16.2      3   1.06    600     58      0    468    658      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.49   0.00   0.00      0      0    177.5   0.00   0.00   0.63   2.48   4.00   2.73   0.75   0.13   0.01   0.00   0.00   0.00   0.00      0      0      0       0      95
 2003 128    72    71   16.6      3   1.14    661     65      0    521    725      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.39   0.00   0.00      0      0    172.9   0.00   0.00   0.64   2.47   4.00   3.06   0.86   0.15   0.01   0.00   0.00   0.00   0.00      0      0      0       0     121
 2003 129    73    72   17.0      3   1.22    723     72      0    593    794      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.32   0.00   0.00      0      0    169.1   0.00   0.00   0.65   2.45   4.00   3.49   1.00   0.17   0.01   0.00   0.00   0.00   0.00      0      0      0       0     150
 2003 130    74    73   17.3      3   1.30    785     79      0    666    864      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.25   0.00   0.00      0      0    165.8   0.00   0.00   0.66   2.44   4.00   3.89   1.14   0.20   0.01   0.00   0.00   0.00   0.00      0      0      0       0     184
 2003 131    75    74   17.7      3   1.38    849     87      0    739    936      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.18   0.00   0.00      0      0    162.8   0.00   0.00   0.67   2.43   4.00   4.00   1.29   0.23   0.01   0.00   0.00   0.00   0.00      0      0      0       0     221
 2003 132    76    75   18.0      3   1.44    894     94      0    836    988      0    0.0  0.000      0      0  0.000  0.104  0.000  0.000   3.06   0.00   0.00      0      0    160.9   0.00   0.00   0.68   2.42   4.00   4.00   1.48   0.27   0.02   0.00   0.00   0.00   0.00      0      0      0       0     262
 2003 133    77    76   18.3      3   1.49    934    100      0    938   1034      0    0.0  0.000      0      0  0.000  0.060  0.000  0.000   2.98   0.00   0.00      0      0    159.3   0.00   0.00   0.69   2.40   4.00   4.00   1.66   0.31   0.02   0.00   0.00   0.00   0.00      0      0      0       0     309
 2003 134    78    77   18.5      3   1.51    960    104      0    989   1064      0    0.0  0.000      0      0  0.197  0.465  0.000  0.000   2.94   0.00   0.00      0      0    156.9   0.00   0.00   0.69   2.39   4.00   4.00   1.75   0.32   0.03   0.00   0.00   0.00   0.00      0      0      0       0     359
 2003 135    79    78   18.9      3   1.52    987    109      0   1031   1096      0    0.0  0.000      0      0  0.248  0.499  0.000  0.000   2.91   0.00   0.00      0      0    154.1   0.00   0.00   0.70   3.19   4.00   4.00   1.79   0.32   0.03   0.01   0.00   0.00   0.00      0      0      0       0     410
 2003 136    80    79   19.2      3   1.54   1016    115      0   1073   1131      0    0.0  0.000      0      0  0.298  0.532  0.000  0.000   2.85   0.00   0.00      0      0    151.1   0.00   0.00   0.71   3.18   4.00   4.00   1.89   0.33   0.03   0.01   0.00   0.00   0.00      0      0      0       0     464
 2003 137    81    80   19.6      3   1.52   1035    119      0   1115   1154      0    0.0  0.000      0      0  0.544  0.696  0.000  0.000   2.79   0.00   0.00      0      0    146.6   0.00   0.00   0.72   3.16   4.00   4.00   2.01   0.34   0.04   0.01   0.00   0.00   0.00      0      0      0       0     520
 2003 138    82    81   20.0      3   1.51   1056    124      0   1155   1181      0    0.0  0.000      0      0  0.433  0.623  0.000  0.000   2.76   0.00   0.00      0      0    143.1   0.00   0.00   0.73   4.00   4.00   4.00   2.02   0.34   0.04   0.01   0.00   0.00   0.00      0      0      0       0     577
 2003 139    83    82   20.3      3   1.57   1103    137      0   1195   1241      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   2.74   0.00   0.00      0      0    142.4   0.00   0.00   0.74   4.00   4.00   4.00   2.04   0.34   0.04   0.01   0.00   0.00   0.00      0      0      0       0     637
 2003 140    84    83   20.6      3   1.62   1137    182      0   1227   1319      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   2.64   0.00   0.00      0      0    142.0   0.00   0.00   0.74   3.98   4.00   4.00   2.08   0.35   0.04   0.01   0.00   0.00   0.00      0      0      0       0     699
 2003 141    85    84   20.9      3   1.58   1148    196      0   1249   1344      0    0.0  0.000      0      0  0.598  0.733  0.000  0.000   2.59   0.00   0.00      0      0    137.6   0.00   0.00   0.75   3.96   4.00   4.00   2.12   0.35   0.05   0.02   0.00   0.00   0.00      0      0      0       0     699
