*WEATHER MODULE DAILY OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2003 160   104    0.0   14.0   15.1   27.0   54.0   0.18   32.2   22.7   27.5   29.3   22.7   27.5   29.3   28.2    330
 2003 161   105    0.0   14.0   15.1   24.9   49.8   0.24   33.3   21.5   27.5   29.2   21.5   27.5   29.2   28.2    330
 2003 162   106    0.0   14.0   15.1   25.0   50.0   0.24   32.6   22.5   27.6   29.1   22.5   27.6   29.1   28.2    330
 2003 163   107    2.8   14.0   15.1   23.8   47.6   0.28   33.5   21.6   27.6   29.4   21.6   27.6   29.4   28.2    330
 2003 164   108    6.9   14.0   15.1   19.0   38.0   0.42   32.1   21.3   26.8   28.4   21.3   26.8   28.4   28.2    330
 2003 165   109    2.8   14.0   15.1   19.7   39.4   0.40   31.0   21.6   26.4   27.7   21.6   26.4   27.7   28.2    330
 2003 166   110    0.0   14.0   15.1   27.5   55.0   0.16   33.5   20.9   27.3   29.1   20.9   27.3   29.1   28.2    330
 2003 167   111   28.7   14.0   15.1   22.2   44.4   0.33   34.1   20.8   27.6   29.5   20.8   27.6   29.5   28.2    330
 2003 168   112   16.5   14.0   15.1   21.4   42.8   0.35   31.2   20.8   26.1   27.6   20.8   26.1   27.6   28.2    330
 2003 169   113    7.6   14.0   15.1   11.2   22.4   0.66   27.5   22.2   24.9   25.7   22.2   24.9   25.7   28.2    330
 2003 170   114    2.5   14.1   15.1   18.8   37.6   0.43   31.3   22.0   26.7   28.1   22.0   26.7   28.1   28.2    330
 2003 171   115    0.5   14.1   15.1   13.4   26.8   0.59   29.1   21.7   25.5   26.5   21.7   25.5   26.5   28.2    330
 2003 172   116    0.0   14.1   15.1   29.4   58.8   0.11   30.5   20.3   25.5   27.0   20.3   25.5   27.0   28.2    330
 2003 173   117    0.0   14.1   15.1   29.7   59.4   0.10   31.4   17.7   24.7   26.7   17.7   24.7   26.7   28.2    330
 2003 174   118    0.0   14.1   15.1   27.9   55.8   0.15   32.3   20.4   26.5   28.2   20.4   26.5   28.2   28.2    330
 2003 175   119    0.0   14.1   15.1   26.7   53.4   0.19   31.8   20.2   26.1   27.8   20.2   26.1   27.8   28.2    330
 2003 176   120    0.0   14.0   15.1   27.7   55.4   0.16   31.3   19.9   25.7   27.4   19.9   25.7   27.4   28.2    330
 2003 177   121    0.0   14.0   15.1   28.1   56.2   0.15   32.5   21.0   26.8   28.5   21.0   26.8   28.5   28.2    330
 2003 178   122    0.0   14.0   15.1   28.4   56.8   0.14   32.3   20.8   26.6   28.3   20.8   26.6   28.3   28.2    330
 2003 179   123    0.0   14.0   15.1   16.3   32.6   0.50   29.9   21.1   25.6   26.9   21.1   25.6   26.9   28.2    330
 2003 180   124    3.0   14.0   15.1   14.1   28.2   0.57   28.8   20.7   24.8   26.0   20.7   24.8   26.0   28.2    330
 2003 181   125   20.1   14.0   15.1   17.7   35.4   0.46   30.9   21.0   26.0   27.5   21.0   26.0   27.5   28.2    330
 2003 182   126   26.9   14.0   15.1    8.2   16.4   0.75   27.4   21.4   24.4   25.3   21.4   24.4   25.3   28.2    330
 2003 183   127    2.5   14.0   15.1   16.0   32.0   0.51   28.1   22.5   25.3   26.2   22.5   25.3   26.2   28.2    330
 2003 184   128   33.5   14.0   15.1   22.7   45.4   0.31   29.7   21.8   25.8   27.0   21.8   25.8   27.0   28.2    330
 2003 185   129    1.3   14.0   15.1   18.9   37.8   0.42   29.8   22.3   26.1   27.5   22.3   26.1   27.5   28.2    330
 2003 186   130    0.5   14.0   15.1   27.1   54.2   0.17   31.7   22.6   27.2   28.9   22.6   27.2   28.9   28.2    330
 2003 187   131    1.0   14.0   15.1   18.0   36.0   0.45   31.7   21.6   26.7   28.6   21.6   26.7   28.6   28.2    330
 2003 188   132    0.0   14.0   15.1   17.8   35.6   0.46   31.9   23.0   27.5   29.2   23.0   27.5   29.2   28.2    330
 2003 189   133    0.0   14.0   15.0   28.6   57.2   0.12   33.1   22.3   27.8   29.8   22.3   27.8   29.8   28.2    330
 2003 190   134    0.0   13.9   15.0   25.7   51.4   0.21   33.1   23.1   28.2   30.0   23.1   28.2   30.0   28.2    330
 2003 191   135    0.0   13.9   15.0   26.4   52.8   0.19   32.6   23.6   28.2   29.8   23.6   28.2   29.8   28.2    330
 2003 192   136    0.0   13.9   15.0   22.7   45.4   0.30   32.3   23.2   27.8   29.5   23.2   27.8   29.5   28.2    330
 2003 193   137    0.0   13.9   15.0   24.5   49.0   0.25   32.2   22.6   27.5   29.2   22.6   27.5   29.2   28.2    330
 2003 194   138    0.0   13.9   15.0   17.9   35.8   0.45   29.1   21.8   25.5   26.8   21.8   25.5   26.8   28.2    330
 2003 195   139    0.0   13.9   15.0   15.6   31.2   0.52   28.5   20.9   24.7   26.1   20.9   24.7   26.1   28.2    330
 2003 196   140    0.0   13.9   14.9   24.2   48.4   0.25   31.3   21.3   26.4   28.2   21.3   26.4   28.2   28.2    330
 2003 197   141    0.0   13.9   14.9   25.5   51.0   0.21   34.2   22.1   28.2   30.4   22.1   28.2   30.4   28.2    330
 2003 198   142   23.9   13.8   14.9   15.8   31.6   0.51   31.9   22.0   27.0   28.8   22.0   27.0   28.8   28.2    330
 2003 199   143    0.0   13.8   14.9   25.3   50.6   0.22   32.2   21.8   27.1   29.0   21.8   27.1   29.0   28.2    330
 2003 200   144    2.0   13.8   14.9   19.9   39.8   0.38   31.2   22.1   26.7   28.4   22.1   26.7   28.4   28.2    330
 2003 201   145    0.0   13.8   14.9   26.7   53.4   0.17   32.3   21.1   26.8   28.8   21.1   26.8   28.8   28.2    330
 2003 202   146    0.0   13.8   14.8   22.3   44.6   0.30   31.8   22.5   27.2   28.9   22.5   27.2   28.9   28.2    330
