*SOIL NITROGEN DAILY OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2003 120    64    62     2     2.2   56.2       1   54.9    1.2   6.2  18.5  10.4   5.2   2.0   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.01  0.15  0.14  0.00    0.69   36.97    0.18    0.42    0.55
 2003 121    65    62     2     2.2   54.4       1   53.2    1.2   5.9  17.5  10.1   5.2   2.0   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.01  0.15  0.14  0.00    0.78   37.05    0.18    0.42    0.56
 2003 122    66    62     2     2.2   52.5       1   51.3    1.2   4.9  16.9   9.8   5.1   2.0   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.01  0.14  0.14  0.00    0.86   37.16    0.18    0.42    0.57
 2003 123    67    62     2     2.2   50.7       1   49.5    1.2   4.7  16.0   9.3   5.0   2.0   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.01  0.14  0.14  0.00    0.96   37.24    0.18    0.42    0.57
 2003 124    68    62     2     2.2   50.5       1   49.3    1.2   4.8  15.9   9.2   5.0   2.0   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.01  0.14  0.13  0.00    1.05   37.36    0.18    0.42    0.59
 2003 125    69    62     2     2.2   47.7       1   46.5    1.2   4.7  14.5   8.5   4.8   2.0   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.00  0.14  0.13  0.00    1.12   37.44    0.18    0.42    0.59
 2003 126    70    62     2     2.2   45.9       2   44.7    1.1   4.8  13.5   8.0   4.7   2.0   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.00  0.13  0.13  0.00    1.18   37.52    0.19    0.42    0.60
 2003 127    71    62     2     2.2   42.8       2   41.7    1.1   5.1  11.9   7.1   4.4   1.9   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.00  0.13  0.13  0.00    1.22   37.58    0.19    0.42    0.60
 2003 128    72    62     2     2.2   40.6       2   39.5    1.1   5.3  10.9   6.4   4.2   1.9   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.00  0.13  0.13  0.00    1.26   37.64    0.19    0.42    0.61
 2003 129    73    62     2     2.2   38.1       2   37.0    1.1   5.6   9.9   5.5   4.0   1.9   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.00  0.13  0.12  0.00    1.29   37.69    0.19    0.42    0.61
 2003 130    74    62     2     2.2   35.1       2   34.1    1.1   5.7   8.8   4.5   3.5   1.8   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.00  0.13  0.12  0.00    1.31   37.73    0.19    0.42    0.61
