PO	67.9	74.4	28.7	21.9	3.6	3.7
PO 	91.4	90.9	8.2	7.2	0.8	2
PO 	49	58	44	36.6	7	5.4
PO 	-1	-1	-1	-1	-1	-1
PP	56.5	62.9	28.3	24.8	15.2	12.4
PP 	98.6	96	1.1	2	0.3	2
PP 	56.7	62.6	32.5	31.3	10.8	6.1
PP 	22	30	38	41	40	29
Q	91.9	91.8	3.2	3	5	5.4
QA	92.6	92.4	3.6	3.7	3.7	5.8
QA 	92.6	92.4	3.6	3.7	5.5	5.8
QA 	-1	-1	-1	-1	-1	-1
QA 	-1	-1	-1	-1	-1	-1
QB	92	92.4	3.1	2.8	4.9	5
QB 	92	92.3	3.2	2.9	4.8	5
QB 	-1	-1	-1	-1	-1	-1
QB 	48.5	92.9	16	3	35.6	4.2
QF	91.7	91.2	3.3	3.1	5.1	5.8
QF 	92	91.6	3	3	5	5.5
QF 	-1	-1	-1	-1	-1	-1
QF 	-1	-1	-1	-1	-1	-1
QL	92.8	91.7	2.7	2.9	4.7	5.5
QL 	92.6	91.7	2.7	2.9	4.8	5.5
QL 	-1	-1	-1	-1	-1	-1
QL 	-1	-1	-1	-1	-1	-1
R	70.6	71.9	14.1	13.7	15.4	14.3
RC	63.5	62.8	19.2	18.4	17.3	18.7
RC 	82.2	82.1	6.9	6.9	10.9	11.1
RC 	38.7	37.1	35.5	33.8	25.8	28.8
RC 	-1	-1	-1	-1	-1	-1
RD	82.1	79.2	6.7	5.7	11.3	15.1
RD 	83	79.2	6.5	5.7	10.5	15.1
RD 	-1	-1	-1	-1	-1	-1
RD 	-1	-1	-1	-1	-1	-1
RE	68.3	71.6	15.1	15.2	16.6	13.2
RE 	82.8	79.9	7.5	8.2	9.7	11.7
RE 	38.7	43.8	36.9	38.2	24.6	17.9
RE 	-1	-1	-1	-1	-1	-1
RX	82.5	87.5	9.9	6.3	7.7	6.3
RX 	82.5	87.5	9.9	6.3	7.7	6.3
RX 	-1	-1	-1	-1	-1	-1
RX 	-1	-1	-1	-1	-1	-1
S	55.4	47.3	20.4	19.8	24.2	32.8
SG	53.9	37.7	25.5	26.2	20.6	36.1
SG 	79.7	58	8.9	10.9	11.5	31.2
SG 	35.4	21.5	44.9	40.3	19.5	38.1
SG 	39.3	29.5	19.7	28.5	41	42
SM	51.7	59.7	31.9	21	16.4	19.2
SM 	-1	-1	-1	-1	-1	-1
SM 	55.4	59.7	25	21	19.6	19.2
SM 	-1	-1	-1	-1	-1	-1
SO	57.6	47.2	13.5	16.8	29	35.9
SO 	86.6	69.4	9.6	13.2	3.7	17.5
SO 	59.5	47.7	16.4	20.5	24.4	31.6
SO 	40.4	35.4	11.2	13	48.5	51.6
T	42.1	43.1	38.1	38.3	19.8	18.7
TH	41	42.6	41.3	41	17.7	16.4
TH 	72.8	74.4	19.3	18.2	8	7.3
TH 	34.3	36.2	49.5	49.9	16.2	13.9
TH 	7.6	8.1	40.8	35	51.7	57
TM	31.2	27.5	39.6	42.8	29.2	30
TM 	-1	-1	-1	-1	-1	-1
TM 	38.5	34	44.5	49	17	17.3
TM 	9.3	7.7	24.9	24.2	66	68.1
TO	38.2	41.6	36.6	35	25.2	23.5
TO 	-1	-1	-1	-1	-1	-1
TO 	43.5	48.1	41.1	39	15.5	12.9
TO 	12	9.1	14	14.7	74	76.1
TV	64.5	67	26.2	26.3	9.3	6.7
TV 	75.5	69	19.5	25.5	5	5.6
TV 	42.5	63	39.7	27.9	18	9.1
TV 	-1	-1	-1	-1	-1	-1
U	50.8	47	16.8	18	32.3	35
U	50.8	47	16.8	18	32.3	35
U  	-1	-1	-1	-1	-1	-1
U  	50.8	47	16.8	18	32.3	35
U  	-1	-1	-1	-1	-1	-1
V	24.6	22.4	14.4	13.4	61	64.2
VC	22.4	20.8	24.5	23.5	53	55.7
VC 	-1	-1	-1	-1	-1	-1
VC 	43.7	39.4	28.6	33	27.3	27.6
VC 	20.2	18.8	23.9	22.5	55.8	58.6
VP	25.1	22.8	12.2	11	62.7	66.1
VP 	-1	-1	-1	-1	-1	-1
VP 	53.2	44.2	15.9	16.5	31.1	39.4
VP 	24.4	22.4	11.5	10.9	64.2	66.7
W	61.4	51.3	21.9	18.1	16.7	30.6
WD	19.8	15.2	55.2	47.5	24.8	37.3
WD 	-1	-1	-1	-1	-1	-1
WD 	28.5	23.5	61.5	55.5	9.8	21
WD 	11.1	6.2	49	45.1	39.9	48.8
WE	76.6	68.9	10.3	7.5	13.1	23.4
WE 	88.9	77.8	4.6	3.7	6.6	18.3
WE 	52.1	47.4	24.4	16.3	23.5	36.3
WE 	40.2	53.4	19.7	15.6	40.2	31
WH	-1	-1	-1	-1	-1	-1
WH 	-1	-1	-1	-1	-1	-1
WH 	-1	-1	-1	-1	-1	-1
WH 	-1	-1	-1	-1	-1	-1
WM	21.1	16.6	56.8	41.6	22.2	41.8
WM 	-1	-1	-1	-1	-1	-1
WM 	21.1	16.6	56.8	41.6	22.2	41.8
WM 	-1	-1	-1	-1	-1	-1
WS	69.1	57.6	16.7	14.1	14.3	28.3
WS 	78.2	65.3	13	11.6	8.9	23.1
WS 	50.3	42.1	25.3	19.3	24.4	38.7
WS 	-1	-1	-1	-1	-1	-1
WX	-1	-1	-1	-1	-1	-1
WX 	-1	-1	-1	-1	-1	-1
WX 	-1	-1	-1	-1	-1	-1
WX 	-1	-1	-1	-1	-1	-1
X	72.8	67.7	10.5	11	16.8	21.4
XH	54.8	52.4	20.6	21.5	24.9	26.3
XH 	75.9	75.8	12.5	12.1	11.7	12.3
XH 	-1	-1	-1	-1	-1	-1
XH 	33.8	28.9	28.8	31	38.2	40.3
XK	48.7	37.4	29.9	36.4	21.6	26.1
XK 	85.8	77.9	3.8	7.8	10.3	14.3
XK 	20.5	18.2	57.9	54.6	21.8	27
